2024-12-12 15:47:04,389 - INFO - IA inicializada.
2024-12-12 15:49:00,122 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:00,667 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:00,667 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:01,212 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:01,212 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:01,757 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:01,757 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:02,303 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:02,303 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:02,848 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:02,848 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:03,391 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:03,391 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:03,936 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:03,936 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:04,462 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:04,462 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:05,008 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:05,008 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:05,556 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:05,556 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:06,102 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:06,102 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:06,648 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:06,648 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:07,193 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:07,193 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:07,739 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:07,739 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:08,284 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:08,284 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:08,830 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:08,830 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:09,375 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:09,375 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:09,921 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:09,921 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:10,470 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:10,470 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:10,988 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:10,988 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:11,512 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:11,512 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:12,056 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:12,056 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:12,584 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:12,584 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:13,129 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:13,129 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:13,645 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:13,646 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:14,191 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:14,191 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:14,735 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:14,735 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:15,280 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:15,280 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
